Gene	Gene description	Concentration
C7	Complement C7	67 mg/L
KRT1	Keratin 1	65 mg/L
KNG1	Kininogen 1	64 mg/L
APOE	Apolipoprotein E	63 mg/L
ORM2	Orosomucoid 2	61 mg/L
LUM	Lumican	59 mg/L
SERPINA6	Serpin family A member 6	59 mg/L
ITIH4	Inter-alpha-trypsin inhibitor heavy chain family member 4	53 mg/L
C2	Complement C2	52 mg/L
A1BG	Alpha-1-B glycoprotein	49 mg/L
SERPINA7	Serpin family A member 7	49 mg/L
FN1	Fibronectin 1	47 mg/L
C5	Complement C5	46 mg/L
CLEC3B	C-type lectin domain family 3 member B	46 mg/L
APOH	Apolipoprotein H	44 mg/L
IGFALS	Insulin like growth factor binding protein acid labile subunit	44 mg/L
F2	"Coagulation factor II, thrombin"	43 mg/L
KRT9	Keratin 9	42 mg/L
CPN2	Carboxypeptidase N subunit 2	42 mg/L
PLG	Plasminogen	41 mg/L
ATRN	Attractin	39 mg/L
SERPING1	Serpin family G member 1	38 mg/L
CLU	Clusterin	36 mg/L
FBLN1	Fibulin 1	34 mg/L
C4BPA	Complement component 4 binding protein alpha	34 mg/L
KRT10	Keratin 10	34 mg/L
FCN3	Ficolin 3	33 mg/L
VTN	Vitronectin	32 mg/L
ITIH1	Inter-alpha-trypsin inhibitor heavy chain 1	31 mg/L
HRG	Histidine rich glycoprotein	30 mg/L
PRSS2	Serine protease 2	27 mg/L
APOC1	Apolipoprotein C1	26 mg/L
PRSS1	Serine protease 1	26 mg/L
PON1	Paraoxonase 1	24 mg/L
SERPINA4	Serpin family A member 4	22 mg/L
CPN1	Carboxypeptidase N subunit 1	22 mg/L
ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2	22 mg/L
SAA1	Serum amyloid A1	22 mg/L
C1RL	Complement C1r subcomponent like	20 mg/L
APOL1	Apolipoprotein L1	19 mg/L
APOM	Apolipoprotein M	18 mg/L
HBA2	Hemoglobin subunit alpha 2	17 mg/L
HBA1	Hemoglobin subunit alpha 1	17 mg/L
F10	Coagulation factor X	16 mg/L
SHBG	Sex hormone binding globulin	15 mg/L
CD14	CD14 molecule	15 mg/L
CFHR1	Complement factor H related 1	15 mg/L
HBB	Hemoglobin subunit beta	15 mg/L
CPB2	Carboxypeptidase B2	14 mg/L
C1R	Complement C1r	14 mg/L
KRT2	Keratin 2	14 mg/L
BCHE	Butyrylcholinesterase	13 mg/L
PZP	"PZP, alpha-2-macroglobulin like"	13 mg/L
C1S	Complement C1s	13 mg/L
F5	Coagulation factor V	13 mg/L
ECM1	Extracellular matrix protein 1	12 mg/L
F9	Coagulation factor IX	11 mg/L
LGALS3BP	Galectin 3 binding protein	11 mg/L
HGFAC	HGF activator	11 mg/L
SAA2	Serum amyloid A2	11 mg/L
CFI	Complement factor I	11 mg/L
HBD	Hemoglobin subunit delta	11 mg/L
GPX3	Glutathione peroxidase 3	10 mg/L
LCAT	Lecithin-cholesterol acyltransferase	9.5 mg/L
CFP	Complement factor properdin	8.5 mg/L
SELL	Selectin L	8.1 mg/L
CFD	Complement factor D	8.0 mg/L
CA1	Carbonic anhydrase 1	7.8 mg/L
C6	Complement C6	7.6 mg/L
KRT6A	Keratin 6A	7.2 mg/L
CHL1	Cell adhesion molecule L1 like	6.9 mg/L
CD5L	CD5 molecule like	6.8 mg/L
F12	Coagulation factor XII	6.6 mg/L
KRT5	Keratin 5	6.5 mg/L
VWF	Von Willebrand factor	6.4 mg/L
PROC	"Protein C, inactivator of coagulation factors Va and VIIIa"	6.4 mg/L
ACTC1	"Actin, alpha, cardiac muscle 1"	6.2 mg/L
ACTA1	"Actin, alpha 1, skeletal muscle"	6.1 mg/L
SERPINA10	Serpin family A member 10	5.9 mg/L
CFHR2	Complement factor H related 2	5.7 mg/L
IGFBP3	Insulin like growth factor binding protein 3	5.6 mg/L
CRP	C-reactive protein	5.4 mg/L
AFM	Afamin	5.0 mg/L
KLKB1	Kallikrein B1	4.9 mg/L
C1QB	Complement C1q B chain	4.7 mg/L
FETUB	Fetuin B	4.5 mg/L
ITIH3	Inter-alpha-trypsin inhibitor heavy chain 3	4.5 mg/L
F11	Coagulation factor XI	4.4 mg/L
PTGDS	Prostaglandin D2 synthase	4.3 mg/L
PRG4	Proteoglycan 4	4.3 mg/L
JCHAIN	Joining chain of multimeric IgA and IgM	4.2 mg/L
CST3	Cystatin C	4.1 mg/L
APOF	Apolipoprotein F	4.0 mg/L
CFHR3	Complement factor H related 3	3.8 mg/L
GPLD1	Glycosylphosphatidylinositol specific phospholipase D1	3.7 mg/L
C8B	Complement C8 beta chain	3.6 mg/L
TLN1	Talin 1	3.6 mg/L
PI16	Peptidase inhibitor 16	3.6 mg/L
PPBP	Pro-platelet basic protein	3.5 mg/L
F13B	Coagulation factor XIII B chain	3.4 mg/L
C8A	Complement C8 alpha chain	3.4 mg/L
PROS1	Protein S	3.4 mg/L
QSOX1	Quiescin sulfhydryl oxidase 1	3.2 mg/L
HABP2	Hyaluronan binding protein 2	3.2 mg/L
B2M	Beta-2-microglobulin	3.2 mg/L
ICAM1	Intercellular adhesion molecule 1	3.1 mg/L
MYH9	Myosin heavy chain 9	3.1 mg/L
LYVE1	Lymphatic vessel endothelial hyaluronan receptor 1	3.0 mg/L
BTD	Biotinidase	2.9 mg/L
FLNA	Filamin A	2.9 mg/L
LPA	Lipoprotein(a)	2.9 mg/L
NCAM1	Neural cell adhesion molecule 1	2.8 mg/L
MCAM	Melanoma cell adhesion molecule	2.6 mg/L
LYZ	Lysozyme	2.6 mg/L
ACTBL2	"Actin, beta like 2"	2.6 mg/L
FCGR3A	Fc fragment of IgG receptor IIIa	2.5 mg/L
CD44	CD44 molecule (Indian blood group)	2.4 mg/L
VASN	Vasorin	2.4 mg/L
SERPINA5	Serpin family A member 5	2.3 mg/L
SELENOP	Selenoprotein P	2.3 mg/L
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	2.2 mg/L
LCP1	Lymphocyte cytosolic protein 1	2.2 mg/L
KRT75	Keratin 75	2.2 mg/L
KRT16	Keratin 16	2.2 mg/L
KRT14	Keratin 14	2.2 mg/L
KRT77	Keratin 77	2.1 mg/L
DBH	Dopamine beta-hydroxylase	2.0 mg/L
GP1BA	Glycoprotein Ib platelet alpha subunit	2.0 mg/L
CNDP1	Carnosine dipeptidase 1	1.9 mg/L
PIGR	Polymeric immunoglobulin receptor	1.9 mg/L
VCL	Vinculin	1.8 mg/L
EFEMP1	EGF containing fibulin extracellular matrix protein 1	1.8 mg/L
MASP1	Mannan binding lectin serine peptidase 1	1.8 mg/L
FCN2	Ficolin 2	1.8 mg/L
ALCAM	Activated leukocyte cell adhesion molecule	1.8 mg/L
CFHR5	Complement factor H related 5	1.7 mg/L
HSPG2	Heparan sulfate proteoglycan 2	1.7 mg/L
MBL2	Mannose binding lectin 2	1.7 mg/L
IGF2	Insulin like growth factor 2	1.7 mg/L
POTEJ	POTE ankyrin domain family member J	1.7 mg/L
PROCR	Protein C receptor	1.6 mg/L
THBS1	Thrombospondin 1	1.6 mg/L
CD163	CD163 molecule	1.6 mg/L
F7	Coagulation factor VII	1.5 mg/L
RNASE1	"Ribonuclease A family member 1, pancreatic"	1.5 mg/L
ANPEP	"Alanyl aminopeptidase, membrane"	1.5 mg/L
C8G	Complement C8 gamma chain	1.5 mg/L
CSF1R	Colony stimulating factor 1 receptor	1.5 mg/L
APOC4	Apolipoprotein C4	1.5 mg/L
PF4V1	Platelet factor 4 variant 1	1.4 mg/L
TGFBI	Transforming growth factor beta induced	1.4 mg/L
F13A1	Coagulation factor XIII A chain	1.4 mg/L
GGH	Gamma-glutamyl hydrolase	1.4 mg/L
S100A9	S100 calcium binding protein A9	1.4 mg/L
PCOLCE	Procollagen C-endopeptidase enhancer	1.3 mg/L
C4BPB	Complement component 4 binding protein beta	1.3 mg/L
C1QC	Complement C1q C chain	1.3 mg/L
ICAM2	Intercellular adhesion molecule 2	1.2 mg/L
ALDOA	"Aldolase, fructose-bisphosphate A"	1.2 mg/L
ALDOA	"Aldolase, fructose-bisphosphate A"	1.2 mg/L
ITGA2B	Integrin subunit alpha 2b	1.1 mg/L
COMP	Cartilage oligomeric matrix protein	1.1 mg/L
PFN1	Profilin 1	1.1 mg/L
VNN1	Vanin 1	1.1 mg/L
ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	1.1 mg/L
PRDX2	Peroxiredoxin 2	1.1 mg/L
TNXB	Tenascin XB	1.1 mg/L
KRT13	Keratin 13	1.1 mg/L
C1QA	Complement C1q A chain	1.1 mg/L
HSPA5	Heat shock protein family A (Hsp70) member 5	1.0 mg/L
IGFBP2	Insulin like growth factor binding protein 2	1.0 mg/L
PEPD	Peptidase D	1.0 mg/L
CDH5	Cadherin 5	1.0 mg/L
ADIPOQ	"Adiponectin, C1Q and collagen domain containing"	1.0 mg/L
COL6A3	Collagen type VI alpha 3 chain	990 µg/L
PLEK	Pleckstrin	970 µg/L
CAT	Catalase	960 µg/L
VCAM1	Vascular cell adhesion molecule 1	960 µg/L
TPM4	Tropomyosin 4	950 µg/L
KRT79	Keratin 79	950 µg/L
PVR	Poliovirus receptor	940 µg/L
ALDOB	"Aldolase, fructose-bisphosphate B"	930 µg/L
KRT8	Keratin 8	920 µg/L
LBP	Lipopolysaccharide binding protein	910 µg/L
MASP2	Mannan binding lectin serine peptidase 2	880 µg/L
LCN2	Lipocalin 2	870 µg/L
PTPRJ	"Protein tyrosine phosphatase, receptor type J"	840 µg/L
SOD3	Superoxide dismutase 3	830 µg/L
SELP	Selectin P	830 µg/L
LAMP2	Lysosomal associated membrane protein 2	820 µg/L
CA2	Carbonic anhydrase 2	790 µg/L
ACTN1	Actinin alpha 1	780 µg/L
LDHB	Lactate dehydrogenase B	780 µg/L
TNC	Tenascin C	760 µg/L
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	760 µg/L
TIMP1	TIMP metallopeptidase inhibitor 1	750 µg/L
KRT17	Keratin 17	750 µg/L
POSTN	Periostin	740 µg/L
NRP1	Neuropilin 1	720 µg/L
ITGB3	Integrin subunit beta 3	710 µg/L
SPARCL1	SPARC like 1	660 µg/L
SELE	Selectin E	640 µg/L
LTF	Lactotransferrin	600 µg/L
KRT15	Keratin 15	580 µg/L
ABI3BP	ABI family member 3 binding protein	570 µg/L
KRT31	Keratin 31	560 µg/L
PLXDC2	Plexin domain containing 2	560 µg/L
RARRES2	Retinoic acid receptor responder 2	550 µg/L
PKM	Pyruvate kinase M1/2	540 µg/L
SPP2	Secreted phosphoprotein 2	540 µg/L
CTSD	Cathepsin D	540 µg/L
ITGB1	Integrin subunit beta 1	540 µg/L
TAGLN2	Transgelin 2	540 µg/L
FBN1	Fibrillin 1	540 µg/L
KRT4	Keratin 4	540 µg/L
S100A8	S100 calcium binding protein A8	530 µg/L
PTPRG	"Protein tyrosine phosphatase, receptor type G"	520 µg/L
PROZ	"Protein Z, vitamin K dependent plasma glycoprotein"	510 µg/L
TUBB	Tubulin beta class I	510 µg/L
TUBA4A	Tubulin alpha 4a	500 µg/L
IGFBP4	Insulin like growth factor binding protein 4	500 µg/L
PRSS3	Serine protease 3	490 µg/L
CNTN1	Contactin 1	490 µg/L
ENO1	Enolase 1	490 µg/L
TUBB1	Tubulin beta 1 class VI	480 µg/L
PCYOX1	Prenylcysteine oxidase 1	480 µg/L
CFL1	Cofilin 1	470 µg/L
KRT33B	Keratin 33B	460 µg/L
LAMP1	Lysosomal associated membrane protein 1	460 µg/L
SERPINA11	Serpin family A member 11	460 µg/L
FERMT3	Fermitin family member 3	450 µg/L
CALR	Calreticulin	450 µg/L
BLVRB	Biliverdin reductase B	440 µg/L
CD93	CD93 molecule	440 µg/L
KRT76	Keratin 76	430 µg/L
GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit	420 µg/L
THBS4	Thrombospondin 4	420 µg/L
ZYX	Zyxin	420 µg/L
PPIA	Peptidylprolyl isomerase A	420 µg/L
IGF1	Insulin like growth factor 1	410 µg/L
TPM3	Tropomyosin 3	410 µg/L
HSP90B1	Heat shock protein 90 beta family member 1	410 µg/L
GP5	Glycoprotein V platelet	400 µg/L
TMSB4X	"Thymosin beta 4, X-linked"	400 µg/L
CRISP3	Cysteine rich secretory protein 3	390 µg/L
MAN1A1	Mannosidase alpha class 1A member 1	390 µg/L
PDIA3	Protein disulfide isomerase family A member 3	390 µg/L
NEGR1	Neuronal growth regulator 1	390 µg/L
CETP	Cholesteryl ester transfer protein	380 µg/L
CTBS	Chitobiase	380 µg/L
ICAM3	Intercellular adhesion molecule 3	370 µg/L
MEGF8	Multiple EGF like domains 8	370 µg/L
DCD	Dermcidin	370 µg/L
CRTAC1	Cartilage acidic protein 1	360 µg/L
TUBB4A	Tubulin beta 4A class IVa	360 µg/L
HEG1	Heart development protein with EGF like domains 1	360 µg/L
PON3	Paraoxonase 3	350 µg/L
PON2	Paraoxonase 2	350 µg/L
KRT7	Keratin 7	350 µg/L
KRT3	Keratin 3	350 µg/L
MSN	Moesin	340 µg/L
ROBO4	Roundabout guidance receptor 4	340 µg/L
IGFBP5	Insulin like growth factor binding protein 5	330 µg/L
PRAP1	Proline rich acidic protein 1	330 µg/L
KRT19	Keratin 19	330 µg/L
MINPP1	Multiple inositol-polyphosphate phosphatase 1	320 µg/L
IGFBP6	Insulin like growth factor binding protein 6	320 µg/L
CACNA2D1	Calcium voltage-gated channel auxiliary subunit alpha2delta 1	310 µg/L
CD55	CD55 molecule (Cromer blood group)	310 µg/L
NAGLU	N-acetyl-alpha-glucosaminidase	300 µg/L
LDHA	Lactate dehydrogenase A	300 µg/L
MMRN1	Multimerin 1	300 µg/L
PCSK9	Proprotein convertase subtilisin/kexin type 9	300 µg/L
RNASE2	Ribonuclease A family member 2	300 µg/L
PGK1	Phosphoglycerate kinase 1	290 µg/L
KRT80	Keratin 80	290 µg/L
TPM2	Tropomyosin 2	290 µg/L
NEO1	Neogenin 1	280 µg/L
WDR1	WD repeat domain 1	280 µg/L
ALDOC	"Aldolase, fructose-bisphosphate C"	280 µg/L
TPM1	Tropomyosin 1	280 µg/L
FLT4	Fms related tyrosine kinase 4	270 µg/L
TPI1	Triosephosphate isomerase 1	270 µg/L
CAP1	Cyclase associated actin cytoskeleton regulatory protein 1	270 µg/L
KRT35	Keratin 35	270 µg/L
ENG	Endoglin	260 µg/L
DPEP2	Dipeptidase 2	260 µg/L
TUBA8	Tubulin alpha 8	260 µg/L
IL1RAP	Interleukin 1 receptor accessory protein	260 µg/L
COL6A1	Collagen type VI alpha 1 chain	250 µg/L
COL18A1	Collagen type XVIII alpha 1 chain	250 µg/L
TUBB3	Tubulin beta 3 class III	250 µg/L
FTL	Ferritin light chain	240 µg/L
AOC3	"Amine oxidase, copper containing 3"	240 µg/L
RPL8	Ribosomal protein L8	240 µg/L
IGFBP7	Insulin like growth factor binding protein 7	240 µg/L
KRT86	Keratin 86	240 µg/L
FAH	Fumarylacetoacetate hydrolase	230 µg/L
KRT32	Keratin 32	230 µg/L
ACTN4	Actinin alpha 4	230 µg/L
CHI3L1	Chitinase 3 like 1	230 µg/L
CDH13	Cadherin 13	230 µg/L
MELTF	Melanotransferrin	230 µg/L
ANG	Angiogenin	230 µg/L
GFAP	Glial fibrillary acidic protein	220 µg/L
KRT81	Keratin 81	220 µg/L
PDLIM1	PDZ and LIM domain 1	210 µg/L
HSPA8	Heat shock protein family A (Hsp70) member 8	210 µg/L
RSU1	Ras suppressor protein 1	210 µg/L
YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	210 µg/L
SLC3A2	Solute carrier family 3 member 2	210 µg/L
HRNR	Hornerin	210 µg/L
LTBP1	Latent transforming growth factor beta binding protein 1	200 µg/L
PLTP	Phospholipid transfer protein	200 µg/L
PEBP4	Phosphatidylethanolamine binding protein 4	200 µg/L
GSTO1	Glutathione S-transferase omega 1	200 µg/L
PGAM1	Phosphoglycerate mutase 1	200 µg/L
CORO1B	Coronin 1B	200 µg/L
CADM1	Cell adhesion molecule 1	200 µg/L
LSAMP	Limbic system-associated membrane protein	200 µg/L
CKM	"Creatine kinase, M-type"	190 µg/L
OGN	Osteoglycin	190 µg/L
SPARC	Secreted protein acidic and cysteine rich	190 µg/L
TKT	Transketolase	190 µg/L
CYCS	"Cytochrome c, somatic"	190 µg/L
MB	Myoglobin	190 µg/L
CEACAM1	Carcinoembryonic antigen related cell adhesion molecule 1	180 µg/L
PRDX6	Peroxiredoxin 6	180 µg/L
CFHR4	Complement factor H related 4	180 µg/L
KRT71	Keratin 71	180 µg/L
CDHR5	Cadherin related family member 5	170 µg/L
BST1	Bone marrow stromal cell antigen 1	170 µg/L
KRT34	Keratin 34	170 µg/L
PLA2G7	Phospholipase A2 group VII	170 µg/L
KRT83	Keratin 83	170 µg/L
KRT38	Keratin 38	170 µg/L
DPP4	Dipeptidyl peptidase 4	170 µg/L
SIRPA	Signal regulatory protein alpha	170 µg/L
SLC4A1	Solute carrier family 4 member 1 (Diego blood group)	160 µg/L
KRT33A	Keratin 33A	160 µg/L
MMP2	Matrix metallopeptidase 2	160 µg/L
MYL6	Myosin light chain 6	160 µg/L
YWHAE	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	160 µg/L
HBZ	Hemoglobin subunit zeta	160 µg/L
KRT85	Keratin 85	160 µg/L
SVEP1	"Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	160 µg/L
CAVIN2	Caveolae associated protein 2	160 µg/L
YWHAG	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	160 µg/L
CDH2	Cadherin 2	160 µg/L
FAM20C	"FAM20C, golgi associated secretory pathway kinase"	160 µg/L
ITLN1	Intelectin 1	160 µg/L
RAP1A	"RAP1A, member of RAS oncogene family"	150 µg/L
CR2	Complement C3d receptor 2	150 µg/L
KRT36	Keratin 36	150 µg/L
OIT3	Oncoprotein induced transcript 3	150 µg/L
ICOSLG	Inducible T cell costimulator ligand	150 µg/L
TUBB6	Tubulin beta 6 class V	150 µg/L
IGF2R	Insulin like growth factor 2 receptor	150 µg/L
LAMB1	Laminin subunit beta 1	140 µg/L
GPI	Glucose-6-phosphate isomerase	140 µg/L
KRT18	Keratin 18	140 µg/L
DSG1	Desmoglein 1	140 µg/L
STOM	Stomatin	140 µg/L
HYOU1	Hypoxia up-regulated 1	140 µg/L
MFAP4	Microfibril associated protein 4	140 µg/L
P4HB	Prolyl 4-hydroxylase subunit beta	140 µg/L
SOD2	Superoxide dismutase 2	140 µg/L
CORO1A	Coronin 1A	130 µg/L
GOT1	Glutamic-oxaloacetic transaminase 1	130 µg/L
YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	130 µg/L
OLFM1	Olfactomedin 1	130 µg/L
MYH10	Myosin heavy chain 10	130 µg/L
MYH11	Myosin heavy chain 11	130 µg/L
CTSB	Cathepsin B	130 µg/L
ILK	Integrin linked kinase	130 µg/L
LIMS1	LIM zinc finger domain containing 1	130 µg/L
PRG2	"Proteoglycan 2, pro eosinophil major basic protein"	130 µg/L
LILRA2	Leukocyte immunoglobulin like receptor A2	130 µg/L
MRC1	Mannose receptor C-type 1	130 µg/L
FGFR1	Fibroblast growth factor receptor 1	120 µg/L
GSTP1	Glutathione S-transferase pi 1	120 µg/L
ARHGDIB	Rho GDP dissociation inhibitor beta	120 µg/L
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	120 µg/L
CD109	CD109 molecule	120 µg/L
PPIB	Peptidylprolyl isomerase B	120 µg/L
DSP	Desmoplakin	110 µg/L
PLS3	Plastin 3	110 µg/L
GSR	Glutathione-disulfide reductase	110 µg/L
PRDX1	Peroxiredoxin 1	110 µg/L
CALD1	Caldesmon 1	110 µg/L
VASP	Vasodilator stimulated phosphoprotein	110 µg/L
ISLR	Immunoglobulin superfamily containing leucine rich repeat	110 µg/L
VCP	Valosin containing protein	110 µg/L
LMAN2	"Lectin, mannose binding 2"	110 µg/L
CST6	Cystatin E/M	110 µg/L
TMEM132C	Transmembrane protein 132C	110 µg/L
GP1BB	Glycoprotein Ib platelet beta subunit	110 µg/L
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	100 µg/L
ENO3	Enolase 3	100 µg/L
ATP5F1B	ATP synthase F1 subunit beta	100 µg/L
ACTR3	ARP3 actin related protein 3 homolog	100 µg/L
IL6ST	Interleukin 6 signal transducer	100 µg/L
BUB3	"BUB3, mitotic checkpoint protein"	100 µg/L
NCAM2	Neural cell adhesion molecule 2	100 µg/L
PNP	Purine nucleoside phosphorylase	100 µg/L
CD59	CD59 molecule (CD59 blood group)	98 µg/L
B4GALT1	"Beta-1,4-galactosyltransferase 1"	98 µg/L
NECTIN1	Nectin cell adhesion molecule 1	97 µg/L
CORO1C	Coronin 1C	96 µg/L
TFPI	Tissue factor pathway inhibitor	95 µg/L
PTPRF	"Protein tyrosine phosphatase, receptor type F"	95 µg/L
DSG2	Desmoglein 2	94 µg/L
HSP90AA1	Heat shock protein 90 alpha family class A member 1	94 µg/L
TREML1	Triggering receptor expressed on myeloid cells like 1	94 µg/L
EGFR	Epidermal growth factor receptor	93 µg/L
MYL9	Myosin light chain 9	92 µg/L
PTPRS	"Protein tyrosine phosphatase, receptor type S"	92 µg/L
CD36	CD36 molecule	92 µg/L
ACE	Angiotensin I converting enzyme	92 µg/L
GRN	Granulin precursor	91 µg/L
H6PD	Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	91 µg/L
SOD1	Superoxide dismutase 1	91 µg/L
NID1	Nidogen 1	90 µg/L
LAMC1	Laminin subunit gamma 1	90 µg/L
C1orf56	Chromosome 1 open reading frame 56	90 µg/L
CFL2	Cofilin 2	90 µg/L
PARVB	Parvin beta	90 µg/L
GDI2	GDP dissociation inhibitor 2	89 µg/L
ENO2	Enolase 2	89 µg/L
CNTN4	Contactin 4	89 µg/L
PIP	Prolactin induced protein	89 µg/L
MOGS	Mannosyl-oligosaccharide glucosidase	88 µg/L
LRP1	LDL receptor related protein 1	88 µg/L
MMRN2	Multimerin 2	86 µg/L
PSAP	Prosaposin	86 µg/L
CTSZ	Cathepsin Z	85 µg/L
LTA4H	Leukotriene A4 hydrolase	85 µg/L
BASP1	Brain abundant membrane attached signal protein 1	85 µg/L
TIMP2	TIMP metallopeptidase inhibitor 2	83 µg/L
EXTL2	Exostosin like glycosyltransferase 2	83 µg/L
UMOD	Uromodulin	83 µg/L
CANX	Calnexin	82 µg/L
TLN2	Talin 2	81 µg/L
APMAP	Adipocyte plasma membrane associated protein	80 µg/L
PSMA2	Proteasome subunit alpha 2	80 µg/L
CEACAM6	Carcinoembryonic antigen related cell adhesion molecule 6	79 µg/L
KRT84	Keratin 84	79 µg/L
CHGA	Chromogranin A	78 µg/L
CLIC1	Chloride intracellular channel 1	78 µg/L
HSPA2	Heat shock protein family A (Hsp70) member 2	77 µg/L
ANXA1	Annexin A1	77 µg/L
RDX	Radixin	77 µg/L
HSPA1A	Heat shock protein family A (Hsp70) member 1A	77 µg/L
AMY2A	"Amylase, alpha 2A (pancreatic)"	77 µg/L
ACTR2	ARP2 actin related protein 2 homolog	76 µg/L
PTPRM	"Protein tyrosine phosphatase, receptor type M"	76 µg/L
TIE1	Tyrosine kinase with immunoglobulin like and EGF like domains 1	75 µg/L
EZR	Ezrin	75 µg/L
CALML5	Calmodulin like 5	75 µg/L
AMY2B	"Amylase, alpha 2B (pancreatic)"	75 µg/L
ADAMTSL1	ADAMTS like 1	74 µg/L
SH3BGRL3	SH3 domain binding glutamate rich protein like 3	73 µg/L
OSCAR	"Osteoclast associated, immunoglobulin-like receptor"	72 µg/L
SFTPB	Surfactant protein B	71 µg/L
KRT78	Keratin 78	71 µg/L
NRCAM	Neuronal cell adhesion molecule	70 µg/L
MYL12A	Myosin light chain 12A	70 µg/L
MET	"MET proto-oncogene, receptor tyrosine kinase"	70 µg/L
ADGRG6	Adhesion G protein-coupled receptor G6	70 µg/L
MAN2A1	Mannosidase alpha class 2A member 1	70 µg/L
GOLM1	Golgi membrane protein 1	70 µg/L
CLSTN1	Calsyntenin 1	70 µg/L
DAG1	Dystroglycan 1	70 µg/L
GDI1	GDP dissociation inhibitor 1	70 µg/L
ACTN2	Actinin alpha 2	69 µg/L
PARK7	Parkinsonism associated deglycase	69 µg/L
BPGM	Bisphosphoglycerate mutase	69 µg/L
CD34	CD34 molecule	69 µg/L
CD9	CD9 molecule	68 µg/L
GP9	Glycoprotein IX platelet	68 µg/L
AMY1B	"Amylase, alpha 1B (salivary)"	68 µg/L
AMY1C	"Amylase, alpha 1C (salivary)"	68 µg/L
AKR1B10	Aldo-keto reductase family 1 member B10	68 µg/L
AMY1A	"Amylase, alpha 1A (salivary)"	68 µg/L
CYB5R3	Cytochrome b5 reductase 3	67 µg/L
NOTCH2	Notch 2	67 µg/L
ADAMTSL2	ADAMTS like 2	67 µg/L
RHOA	Ras homolog family member A	65 µg/L
FUCA1	Alpha-L-fucosidase 1	65 µg/L
OAF	Out at first homolog	65 µg/L
ESAM	Endothelial cell adhesion molecule	64 µg/L
MDH1	Malate dehydrogenase 1	63 µg/L
FCN1	Ficolin 1	63 µg/L
NPC2	NPC intracellular cholesterol transporter 2	63 µg/L
PEBP1	Phosphatidylethanolamine binding protein 1	62 µg/L
HSP90AB1	Heat shock protein 90 alpha family class B member 1	62 µg/L
PRKCSH	Protein kinase C substrate 80K-H	62 µg/L
ALDH1A1	Aldehyde dehydrogenase 1 family member A1	62 µg/L
KRTDAP	Keratinocyte differentiation associated protein	62 µg/L
SBSN	Suprabasin	62 µg/L
